SQL> desc v$logmnr_contents;
Name             Type           Nullable Default Comments 
---------------- -------------- -------- ------- -------- 
SCN              NUMBER         Y                         
START_SCN        NUMBER         Y                         
COMMIT_SCN       NUMBER         Y                         
TIMESTAMP        DATE           Y                         
START_TIMESTAMP  DATE           Y                         
COMMIT_TIMESTAMP DATE           Y                         
XIDUSN           NUMBER         Y                         
XIDSLT           NUMBER         Y                         
XIDSQN           NUMBER         Y                         
XID              RAW(8)         Y                         
PXIDUSN          NUMBER         Y                         
PXIDSLT          NUMBER         Y                         
PXIDSQN          NUMBER         Y                         
PXID             RAW(8)         Y                         
TX_NAME          VARCHAR2(256)  Y                         
OPERATION        VARCHAR2(32)   Y                         
OPERATION_CODE   NUMBER         Y                         
ROLLBACK         NUMBER         Y                         
SEG_OWNER        VARCHAR2(32)   Y                         
SEG_NAME         VARCHAR2(256)  Y                         
TABLE_NAME       VARCHAR2(32)   Y                         
SEG_TYPE         NUMBER         Y                         
SEG_TYPE_NAME    VARCHAR2(32)   Y                         
TABLE_SPACE      VARCHAR2(32)   Y                         
ROW_ID           VARCHAR2(18)   Y                         
USERNAME         VARCHAR2(30)   Y                         
OS_USERNAME      VARCHAR2(4000) Y                         
MACHINE_NAME     VARCHAR2(4000) Y                         
AUDIT_SESSIONID  NUMBER         Y                         
SESSION#         NUMBER         Y                         
SERIAL#          NUMBER         Y                         
SESSION_INFO     VARCHAR2(4000) Y                         
THREAD#          NUMBER         Y                         
SEQUENCE#        NUMBER         Y                         
RBASQN           NUMBER         Y                         
RBABLK           NUMBER         Y                         
RBABYTE          NUMBER         Y                         
UBAFIL           NUMBER         Y                         
UBABLK           NUMBER         Y                         
UBAREC           NUMBER         Y                         
UBASQN           NUMBER         Y                         
ABS_FILE#        NUMBER         Y                         
REL_FILE#        NUMBER         Y                         
DATA_BLK#        NUMBER         Y                         
DATA_OBJ#        NUMBER         Y                         
DATA_OBJV#       NUMBER         Y                         
DATA_OBJD#       NUMBER         Y                         
SQL_REDO         VARCHAR2(4000) Y                         
SQL_UNDO         VARCHAR2(4000) Y                         
RS_ID            VARCHAR2(32)   Y                         
SSN              NUMBER         Y                         
CSF              NUMBER         Y                         
INFO             VARCHAR2(32)   Y                         
STATUS           NUMBER         Y                         
REDO_VALUE       NUMBER         Y                         
UNDO_VALUE       NUMBER         Y                         
SAFE_RESUME_SCN  NUMBER         Y                         
CSCN             NUMBER         Y                         
OBJECT_ID        RAW(16)        Y                         
EDITION_NAME     VARCHAR2(30)   Y                         
CLIENT_ID        VARCHAR2(64)   Y  
