SQL> desc v$logmnr_contents;
Name             Type           Nullable Default Comments 
---------------- -------------- -------- ------- -------- 
SCN              NUMBER         Y                         
CSCN             NUMBER         Y                         
TIMESTAMP        DATE           Y                         
COMMIT_TIMESTAMP DATE           Y                         
THREAD#          NUMBER         Y                         
LOG_ID           NUMBER         Y                         
XIDUSN           NUMBER         Y                         
XIDSLT           NUMBER         Y                         
XIDSQN           NUMBER         Y                         
PXIDUSN          NUMBER         Y                         
PXIDSLT          NUMBER         Y                         
PXIDSQN          NUMBER         Y                         
RBASQN           NUMBER         Y                         
RBABLK           NUMBER         Y                         
RBABYTE          NUMBER         Y                         
UBAFIL           NUMBER         Y                         
UBABLK           NUMBER         Y                         
UBAREC           NUMBER         Y                         
UBASQN           NUMBER         Y                         
ABS_FILE#        NUMBER         Y                         
REL_FILE#        NUMBER         Y                         
DATA_BLK#        NUMBER         Y                         
DATA_OBJ#        NUMBER         Y                         
DATA_OBJD#       NUMBER         Y                         
SEG_OWNER        VARCHAR2(32)   Y                         
SEG_NAME         VARCHAR2(256)  Y                         
SEG_TYPE         NUMBER         Y                         
SEG_TYPE_NAME    VARCHAR2(32)   Y                         
TABLE_SPACE      VARCHAR2(32)   Y                         
ROW_ID           VARCHAR2(19)   Y                         
SESSION#         NUMBER         Y                         
SERIAL#          NUMBER         Y                         
USERNAME         VARCHAR2(30)   Y                         
SESSION_INFO     VARCHAR2(4000) Y                         
TX_NAME          VARCHAR2(256)  Y                         
ROLLBACK         NUMBER         Y                         
OPERATION        VARCHAR2(32)   Y                         
OPERATION_CODE   NUMBER         Y                         
SQL_REDO         VARCHAR2(4000) Y                         
SQL_UNDO         VARCHAR2(4000) Y                         
RS_ID            VARCHAR2(32)   Y                         
SEQUENCE#        NUMBER         Y                         
SSN              NUMBER         Y                         
CSF              NUMBER         Y                         
INFO             VARCHAR2(32)   Y                         
STATUS           NUMBER         Y                         
REDO_VALUE       RAW(4)         Y                         
UNDO_VALUE       RAW(4)         Y                         
SQL_COLUMN_TYPE  VARCHAR2(32)   Y                         
SQL_COLUMN_NAME  VARCHAR2(32)   Y                         
REDO_LENGTH      NUMBER         Y                         
REDO_OFFSET      NUMBER         Y                         
UNDO_LENGTH      NUMBER         Y                         
UNDO_OFFSET      NUMBER         Y   
